group,subgroup,rate_window1_12mo (%),rate_window2_12mo (%),diff_rate_12mo (%),rate_window1_36mo (%),rate_window2_36mo (%),diff_rate_36mo (%)
funding,NIH,7.8,32.2,24.4,39.2,62.0,22.7
funding,Industry,10.2,31.5,21.3,48.6,67.1,18.5
funding,Other,5.8,15.5,9.8,30.8,33.8,3.1
phase,Phase 1/2 & 2,8.2,37.3,29.1,41.4,79.6,38.1
phase,Phase 2/3 & 3,11.0,39.3,28.3,54.7,85.4,30.7
phase,Phase 4,14.6,40.5,25.9,58.4,80.6,22.3
phase,N/A,4.9,14.1,9.2,27.3,30.0,2.7
intervention,Drug,10.6,37.9,27.3,52.6,81.5,28.8
intervention,Device,9.1,30.0,20.8,53.1,64.0,10.9
intervention,Biological,10.7,45.3,34.6,51.2,85.2,34.1
intervention,Other,3.1,8.5,5.4,12.2,18.2,6.0
purpose,Treatment,9.3,29.5,20.2,45.5,61.8,16.4
purpose,Prevention,5.9,19.0,13.1,29.9,37.0,7.1
purpose,Diagnostic,5.6,19.9,14.2,37.7,52.0,14.3
purpose,Other,4.6,13.9,9.4,25.0,31.0,6.0
status,Completed,7.9,21.6,13.7,39.8,46.9,7.0
status,Terminated,10.1,31.1,21.0,46.1,61.3,15.2
