group,subgroup,prop_pre,prop_post,prop_overall,diff_prop_prepost
funding,NIH,18.6,9.2,14.7,-9.4
funding,Industry,47.4,38.5,43.7,-8.9
funding,Other,34.0,52.3,41.6,18.3
phase,Phase 1/2 & 2,35.8,19.9,29.3,-15.9
phase,Phase 2/3 & 3,18.9,10.5,15.5,-8.4
phase,Phase 4,10.4,7.0,9.0,-3.4
phase,N/A,34.8,62.6,46.2,27.8
intervention,Drug,53.6,31.4,44.5,-22.2
intervention,Device,10.4,18.8,13.9,8.3
intervention,Biological,6.9,3.9,5.6,-3.0
intervention,Other,29.1,46.0,36.0,16.8
purpose,Treatment,74.2,54.7,65.9,-19.6
purpose,Prevention,10.7,11.3,10.9,0.6
purpose,Diagnostic,3.7,3.5,3.6,-0.2
purpose,Other,11.4,30.6,19.5,19.2
status,Completed,84.7,83.5,84.2,-1.2
status,Terminated,15.3,16.5,15.8,1.2
